function name: print_products, time: 271.0643 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 291.4979 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 38.8093 ms, records processed: 30000 products, 30000 customers, 30000 rentals
function name: __init__, time: 19.8758 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 2069.9997 ms, records processed: 50000 products, 0 customers, 0 rentals
function name: import_csv, time: 2294.4987 ms, records processed: 0 products, 50000 customers, 0 rentals
function name: import_csv, time: 1656.4958 ms, records processed: 0 products, 0 customers, 50000 rentals
function name: import_data, time: 6125.5522 ms, records processed: 50000 products, 50000 customers, 50000 rentals
function name: show_rentals, time: 86.5834 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 369.4992 ms, records processed: 0 products, 0 customers, 0 rentals
function name: print_products, time: 437.4132 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 339.5061 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 42.3205 ms, records processed: 50000 products, 50000 customers, 50000 rentals
function name: __init__, time: 9.9971 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 2781.2965 ms, records processed: 70000 products, 0 customers, 0 rentals
function name: import_csv, time: 2977.9804 ms, records processed: 0 products, 70000 customers, 0 rentals
function name: import_csv, time: 2299.896 ms, records processed: 0 products, 0 customers, 70000 rentals
function name: import_data, time: 8165.3695 ms, records processed: 70000 products, 70000 customers, 70000 rentals
function name: show_rentals, time: 123.9605 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 474.5586 ms, records processed: 0 products, 0 customers, 0 rentals
function name: print_products, time: 546.612 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 532.9533 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 39.4921 ms, records processed: 70000 products, 70000 customers, 70000 rentals
function name: __init__, time: 8.9006 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 3621.5281 ms, records processed: 100000 products, 0 customers, 0 rentals
function name: import_csv, time: 4466.9483 ms, records processed: 0 products, 100000 customers, 0 rentals
function name: import_csv, time: 3222.2686 ms, records processed: 0 products, 0 customers, 100000 rentals
function name: import_data, time: 11422.4663 ms, records processed: 100000 products, 100000 customers, 100000 rentals
function name: show_rentals, time: 192.0078 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 695.003 ms, records processed: 0 products, 0 customers, 0 rentals
function name: print_products, time: 804.3842 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 836.3521 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 47.503 ms, records processed: 100000 products, 100000 customers, 100000 rentals
function name: __init__, time: 9.002 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 5910.0018 ms, records processed: 150000 products, 0 customers, 0 rentals
function name: import_csv, time: 7245.5032 ms, records processed: 0 products, 150000 customers, 0 rentals
function name: import_csv, time: 4938.0658 ms, records processed: 0 products, 0 customers, 150000 rentals
function name: import_data, time: 18208.071 ms, records processed: 150000 products, 150000 customers, 150000 rentals
function name: show_rentals, time: 299.938 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 1126.5161 ms, records processed: 0 products, 0 customers, 0 rentals
function name: print_products, time: 1251.4946 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 1110.492 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 42.8407 ms, records processed: 150000 products, 150000 customers, 150000 rentals
function name: __init__, time: 9.001 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 8362.4988 ms, records processed: 200000 products, 0 customers, 0 rentals
function name: import_csv, time: 10305.9599 ms, records processed: 0 products, 200000 customers, 0 rentals
function name: import_csv, time: 6669.4887 ms, records processed: 0 products, 0 customers, 200000 rentals
function name: import_data, time: 25452.3563 ms, records processed: 200000 products, 200000 customers, 200000 rentals
function name: show_rentals, time: 405.2546 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 1486.5179 ms, records processed: 0 products, 0 customers, 0 rentals
function name: print_products, time: 1639.0047 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 1491.5617 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 39.7069 ms, records processed: 200000 products, 200000 customers, 200000 rentals
function name: __init__, time: 8.9521 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 10549.6399 ms, records processed: 250000 products, 0 customers, 0 rentals
function name: import_csv, time: 10637.5003 ms, records processed: 0 products, 250000 customers, 0 rentals
function name: import_csv, time: 8162.1761 ms, records processed: 0 products, 0 customers, 250000 rentals
function name: import_data, time: 29471.1061 ms, records processed: 250000 products, 250000 customers, 250000 rentals
function name: show_rentals, time: 496.9902 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 1942.4922 ms, records processed: 0 products, 0 customers, 0 rentals
function name: print_products, time: 2118.8681 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 1933.7533 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 39.0112 ms, records processed: 250000 products, 250000 customers, 250000 rentals
function name: __init__, time: 10.9675 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 11248.503 ms, records processed: 300000 products, 0 customers, 0 rentals
function name: import_csv, time: 12751.3907 ms, records processed: 0 products, 300000 customers, 0 rentals
function name: import_csv, time: 10671.6983 ms, records processed: 0 products, 0 customers, 300000 rentals
function name: import_data, time: 34787.6558 ms, records processed: 300000 products, 300000 customers, 300000 rentals
function name: show_rentals, time: 578.1109 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 2167.5072 ms, records processed: 0 products, 0 customers, 0 rentals
function name: print_products, time: 2376.534 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 2194.803 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 50.0987 ms, records processed: 300000 products, 300000 customers, 300000 rentals
function name: __init__, time: 9.5036 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 14648.0041 ms, records processed: 350000 products, 0 customers, 0 rentals
function name: import_csv, time: 15222.4827 ms, records processed: 0 products, 350000 customers, 0 rentals
function name: import_csv, time: 11201.7691 ms, records processed: 0 products, 0 customers, 350000 rentals
function name: import_data, time: 41188.6964 ms, records processed: 350000 products, 350000 customers, 350000 rentals
function name: show_rentals, time: 647.1083 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 2773.2904 ms, records processed: 0 products, 0 customers, 0 rentals
function name: print_products, time: 3003.3045 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 2911.6621 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 35.7325 ms, records processed: 350000 products, 350000 customers, 350000 rentals
function name: __init__, time: 8.709 ms, records processed: 0 products, 0 customers, 0 rentals
function name: import_csv, time: 13765.6987 ms, records processed: 400000 products, 0 customers, 0 rentals
function name: import_csv, time: 17233.0391 ms, records processed: 0 products, 400000 customers, 0 rentals
function name: import_csv, time: 13345.376 ms, records processed: 0 products, 0 customers, 400000 rentals
function name: import_data, time: 44469.1162 ms, records processed: 400000 products, 400000 customers, 400000 rentals
function name: show_rentals, time: 1130.4977 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 3061.5058 ms, records processed: 0 products, 0 customers, 0 rentals
function name: print_products, time: 3328.5029 ms, records processed: 0 products, 0 customers, 0 rentals
function name: show_available_products, time: 3242.1191 ms, records processed: 0 products, 0 customers, 0 rentals
function name: drop_data, time: 65.9559 ms, records processed: 400000 products, 400000 customers, 400000 rentals
